id,physical_description,size_cp,size,menu_format,unit
25160,FOLDER; ILLUS; 4.5 X 7.;, 4.5 x 7,4.5x7,,
25163,CARD; ILLUS; COL; 5.25X8;, 5.25x8,5.25x8,,
25178,FOLDER; ILLUS; COL; 3.6X5;, 3.6x5,3.6x5,,
25164,CARD; 4.5 X 7.25;, 4.5 x 7.25,4.5x7.25,,
25165,BROADSIDE; 5X8.5;, 5x8.5,5x8.5,,
25166,CARD;4 X 5.75;,4 x 5.75,4x5.75,,
25167,BROADSIDE; 3.5X5.75;, 3.5x5.75,3.5x5.75,,
25168,FOLDER; ILL; 4.25X6.25, 4.25x6.25,4.25x6.25,,
25170,BROADSIDE; ILLUS; 6 X 9.25;, 6 x 9.25,6x9.25,,
14230,BROADSIDE; ILLUS; COL; 5.5 X 8.25;, 5.5 x 8.25,5.5x8.25,,
25172,CARD; 4.5 X 6.75;, 4.5 x 6.75,4.5x6.75,,
25173,BROADSHEET; ILL; 6.75X10.75;, 6.75x10.75,6.75x10.75,,
25175,BOOKLET; ILL; 5X7.25, 5x7.25,5x7.25,,
25176,BROADSIDE; ILLUS; COL; 5.25X8.25;, 5.25x8.25,5.25x8.25,,
25352,BOOKLET; RIBBON TRIM; GOLD DECORATION; 5 X6.5;, 5 x6.5,5x6.5,,
25355,CARD; 4 X 6;, 4 x 6,4x6,,
25072,CARD; ILLUS; COL; 5.25X8;, 5.25x8,5.25x8,,
25533,FOLDER; ILLUS; 6 X 9;, 6 x 9,6x9,,
25536,BROADSIDE; 6.0X11.0;, 6.0x11.0,6.0x11.0,,
25538,FOLDER; ILLUS; 5.5X7;, 5.5x7,5.5x7,,
25539,BOOKLET; ILLUS; COL; 6.5 X 10;, 6.5 x 10,6.5x10,,
25540,CARD; COL; 4.5 X 6.75;, 4.5 x 6.75,4.5x6.75,,
25541,CARD;4.25X6.5,4.25x6.5,4.25x6.5,,
25542,BROADSIDE; 6.5 x 8.25;, 6.5 x 8.25,6.5x8.25,,
14220,BROADSIDE; COL;5 X 6.5;,5 x 6.5,5x6.5,,
25544,CARD;ILL;COL;5.25X8;,5.25x8,5.25x8,,
25545,FOLDER; ILLUS; COL; 5.75X9.25;, 5.75x9.25,5.75x9.25,,
25546,CARD BOOKLET; ILLUS; 6.5 X 9.25;, 6.5 x 9.25,6.5x9.25,,
25548,CARD; 5 X 9;, 5 x 9,5x9,,
25549,FOLDER; ILL; 5X7, 5x7,5x7,,
25550,FOLDER; 4.25 X 6.25;, 4.25 x 6.25,4.25x6.25,,
25551,CARD; 4.5 X 8;, 4.5 x 8,4.5x8,,
25553,BOOKLET; ILLUS; COL; 8X10;, 8x10,8x10,,
25554,FOLDER; ILLUS; 6 X 9.75;, 6 x 9.75,6x9.75,,
25555,BROADSIDE; ILLUS; COL; 5.5X8;, 5.5x8,5.5x8,,
25556,CARD; COL; 4 X 7.25;, 4 x 7.25,4x7.25,,
25557,CARD; 4.5 X 6.25, 4.5 x 6.25,4.5x6.25,,
25558,FOLDER; 4.75 X 7;, 4.75 x 7,4.75x7,,
25559,CARD; ILL; 5.5X7.75, 5.5x7.75,5.5x7.75,,
25560,BROADSIDE; 5.25X8.0; ILLUS;, 5.25x8.0,5.25x8.0,,
25561,CARD; 4.5 X 6.75;, 4.5 x 6.75,4.5x6.75,,
25562,FOLDER;ILLUS;4.25X7;,4.25x7,4.25x7,,
25563,CARD; ILLUS; 4 X 7;, 4 x 7,4x7,,
25534,FOLDER; ILLUS; COL; 5.25 X 7.5;, 5.25 x 7.5,5.25x7.5,,
25532,"BROADSHEET, 3.25 x 5;", 3.25 x 5,3.25x5,,
25495,BROADSIDE;ILLUS;5.5 X 8.5;,5.5 x 8.5,5.5x8.5,,
25530,FOLDER; 6.25 X 9.5;, 6.25 x 9.5,6.25x9.5,,
25497,BROADSHEET; COL; ILLUS; 3.5 x 6;, 3.5 x 6,3.5x6,,
25498,BROADSHEET; 5.5X8.75;, 5.5x8.75,5.5x8.75,,
25499,BOOKLET; 6 X 7;, 6 x 7,6x7,,
25500,CARD;ILLUS;4X6;,4x6,4x6,,
